,endtime,starttime,interval,departing_insect,arriving_insect,sheet_title,timestamp_pd,timestamp_pd_rounded,same_insect,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
0,0 days 14:18:53,0 days 14:44:24,1531000000000,X. virginica (F),X. virginica (F),Obedient Plant 09-8-22 picture bag analysis sheet,2022-09-08 14:18:53,2022-09-08 14:00:00,1,22.0,18.0,78.0,0.0,,10.0,7.6,,1015.0,,1.0
1,0 days 14:46:24,0 days 15:10:54,1470000000000,X. virginica (F),Xylocopa virginica (F),Obedient Plant 09-8-22 picture bag analysis sheet,2022-09-08 14:46:24,2022-09-08 15:00:00,1,23.0,17.0,69.0,0.0,,30.0,9.0,,1015.0,,1.0
2,0 days 12:42:47,0 days 13:18:48,2161000000000,Augochora pura,Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 12:42:47,2022-07-21 13:00:00,0,29.0,26.0,84.0,0.0,,260.0,15.0,,1007.0,,1.0
3,0 days 13:19:18,0 days 13:19:48,30000000000,Megachile sp. (F),Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 13:19:18,2022-07-21 13:00:00,1,29.0,26.0,84.0,0.0,,260.0,15.0,,1007.0,,1.0
4,0 days 13:20:18,0 days 13:23:48,210000000000,Megachile sp. (F),Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 13:20:18,2022-07-21 13:00:00,1,29.0,26.0,84.0,0.0,,260.0,15.0,,1007.0,,1.0
5,0 days 13:24:18,0 days 13:31:48,450000000000,Megachile sp. (F),Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 13:24:18,2022-07-21 13:00:00,1,29.0,26.0,84.0,0.0,,260.0,15.0,,1007.0,,1.0
6,0 days 12:29:34,0 days 12:29:44,10000000000,Ceratina sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 12:29:34,2022-07-21 12:00:00,1,27.0,25.0,89.0,0.0,,220.0,6.0,,1007.0,,1.0
7,0 days 12:29:48,0 days 12:29:55,7000000000,Ceratina sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 12:29:48,2022-07-21 12:00:00,1,27.0,25.0,89.0,0.0,,220.0,6.0,,1007.0,,1.0
8,0 days 12:29:59,0 days 16:00:54,12655000000000,Ceratina sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 12:29:59,2022-07-21 12:00:00,1,27.0,25.0,89.0,0.0,,220.0,6.0,,1007.0,,1.0
9,0 days 16:01:24,0 days 16:11:55,631000000000,Ceratina sp. (F),Ceratina, Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:01:24,2022-07-21 16:00:00,1,31.0,25.1,71.0,0.0,,300.0,11.2,,1008.0,,3.0
10,0 days 16:12:55,0 days 16:20:25,450000000000,Ceratina,Megachile sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:12:55,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,,300.0,11.2,,1008.0,,3.0
11,0 days 16:21:25,0 days 16:25:25,240000000000,Megachile sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:21:25,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,,300.0,11.2,,1008.0,,3.0
12,0 days 16:25:55,0 days 16:26:55,60000000000,Ceratina sp. (F),Insecta, Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:25:55,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,,300.0,11.2,,1008.0,,3.0
13,0 days 16:27:25,0 days 16:28:55,90000000000,Insecta,Ceratina sp., Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:27:25,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,,300.0,11.2,,1008.0,,3.0
14,0 days 16:29:25,0 days 16:30:55,90000000000,Ceratina sp.,Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:29:25,2022-07-21 16:00:00,1,31.0,25.1,71.0,0.0,,300.0,11.2,,1008.0,,3.0
15,0 days 12:27:59,0 days 13:10:00,2521000000000,Coleoptera,Coleoptera,Halberd-leaf Rosemallow 08-09-2022 unbagged analysis,2022-08-09 12:27:59,2022-08-09 12:00:00,1,26.0,26.0,100.0,0.0,,210.0,7.0,,1017.0,,3.0
16,0 days 12:20:51,0 days 12:29:21,510000000000,Insecta,Xylocopa virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:20:51,2022-08-11 12:00:00,0,22.3,20.4,89.0,0.0,,312.0,10.8,,1014.7,,3.0
17,0 days 12:29:51,0 days 12:42:21,750000000000,Xylocopa virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:29:51,2022-08-11 12:00:00,1,22.3,20.4,89.0,0.0,,312.0,10.8,,1014.7,,3.0
18,0 days 12:43:51,0 days 12:44:51,60000000000,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:43:51,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
19,0 days 12:45:21,0 days 12:47:51,150000000000,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:45:21,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
20,0 days 12:48:21,0 days 12:51:51,210000000000,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:48:21,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
21,0 days 12:52:21,0 days 13:22:21,1800000000000,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:52:21,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
22,0 days 13:22:51,0 days 13:34:21,690000000000,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 13:22:51,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
37,0 days 12:47:11,0 days 13:26:42,2371000000000,Xylocopa virginica (F),Xylocopa virginica (F),Horsemint 08-11-2022 picturebag analysis,2022-08-11 12:47:11,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
38,0 days 13:27:12,0 days 13:58:12,1860000000000,Xylocopa virginica (F),Insecta,Horsemint 08-11-2022 picturebag analysis,2022-08-11 13:27:12,2022-08-11 13:00:00,0,21.0,21.0,100.0,0.0,,290.0,6.0,,1016.0,,3.0
23,0 days 13:36:22,0 days 14:01:22,1500000000000,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 13:36:22,2022-08-11 14:00:00,1,24.0,22.1,89.0,0.0,,320.0,13.0,,1016.0,,3.0
24,0 days 14:02:22,0 days 14:17:50,928000000000,X. virginica (F),Monobia quadridens,Horsemint 08-11-2022 unbaggged analysis,2022-08-11 14:02:22,2022-08-11 14:00:00,0,24.0,22.1,89.0,0.0,,320.0,13.0,,1016.0,,3.0
25,0 days 14:18:20,0 days 14:26:20,480000000000,Monobia quadridens,X. virginica,Horsemint 08-11-2022 unbaggged analysis,2022-08-11 14:18:20,2022-08-11 14:00:00,0,24.0,22.1,89.0,0.0,,320.0,13.0,,1016.0,,3.0
26,0 days 14:26:50,0 days 14:41:50,900000000000,X. virginica,X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 14:26:50,2022-08-11 14:00:00,1,24.0,22.1,89.0,0.0,,320.0,13.0,,1016.0,,3.0
39,0 days 13:58:42,0 days 15:02:13,3811000000000,Insecta,X. virginica (F),Horsemint 08-11-2022 picturebag analysis,2022-08-11 13:58:42,2022-08-11 14:00:00,0,24.0,22.1,89.0,0.0,,320.0,13.0,,1016.0,,3.0
