,endtime,starttime,interval,departing_insect,arriving_insect,sheet_title,timestamp_pd,timestamp_pd_rounded,same_species,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,status
0,0 days 11:41:43,0 days 11:44:13,150.0,Insecta,Insecta,07-28-2022 i10 Zinnia,2022-07-28 11:41:43,2022-07-28 12:00:00,1,23.0,23.0,100.0,0.0,270.0,7.2,1014.0,3.0,1
1,0 days 11:44:43,0 days 12:04:13,1170.0,Insecta,Syrphinae,07-28-2022 i10 Zinnia,2022-07-28 11:44:43,2022-07-28 12:00:00,0,23.0,23.0,100.0,0.0,270.0,7.2,1014.0,3.0,1
2,0 days 13:43:07,0 days 13:54:07,660.0,Halictus ligatus/poeyi,Syrphidae,07-28-2022 i4 Black-eyed Susan,2022-07-28 13:43:07,2022-07-28 14:00:00,0,29.0,25.0,79.0,0.0,271.0,8.3,1013.0,3.0,1
3,0 days 12:57:16,0 days 12:59:20,124.0,Augochlorini,Apis mellifera,08-04-2022 i8 Cup Plant,2022-08-04 12:57:16,2022-08-04 13:00:00,1,28.0,25.0,84.0,0.0,220.0,7.0,1019.0,1.0,1
4,0 days 13:00:22,0 days 13:00:53,31.0,Apis mellifera,Augochlorini,08-04-2022 i8 Cup Plant,2022-08-04 13:00:22,2022-08-04 13:00:00,1,28.0,25.0,84.0,0.0,220.0,7.0,1019.0,1.0,1
5,0 days 13:01:55,0 days 13:03:28,93.0,Augochlorini,Augochlorini,08-04-2022 i8 Cup Plant,2022-08-04 13:01:55,2022-08-04 13:00:00,1,28.0,25.0,84.0,0.0,220.0,7.0,1019.0,1.0,1
6,0 days 11:50:31,0 days 12:25:31,2100.0,Melissodes bimaculatus (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 11:50:31,2022-08-16 12:00:00,1,21.0,18.9,88.0,0.0,50.0,6.0,1017.0,3.0,1
7,0 days 12:26:01,0 days 12:53:01,1620.0,Melissodes bimaculatus (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 12:26:01,2022-08-16 12:00:00,1,21.0,18.9,88.0,0.0,50.0,6.0,1017.0,3.0,1
8,0 days 12:54:31,0 days 12:56:01,90.0,Melissodes bimaculatus (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 12:54:31,2022-08-16 13:00:00,1,23.0,18.1,74.0,0.0,50.0,7.6,1017.0,3.0,1
9,0 days 12:59:01,0 days 13:14:02,901.0,Melissodes bimaculatus (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 12:59:01,2022-08-16 13:00:00,1,23.0,18.1,74.0,0.0,50.0,7.6,1017.0,3.0,1
10,0 days 13:14:32,0 days 13:15:02,30.0,Melissodes bimaculatus (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 13:14:32,2022-08-16 13:00:00,1,23.0,18.1,74.0,0.0,50.0,7.6,1017.0,3.0,1
11,0 days 13:19:02,0 days 13:38:02,1140.0,Melissodes bimaculatus (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 13:19:02,2022-08-16 13:00:00,1,23.0,18.1,74.0,0.0,50.0,7.6,1017.0,3.0,1
12,0 days 13:38:32,0 days 14:04:32,1560.0,Melissodes bimaculatus (F),Svastra obliqua (F),08-16-2022 i8 Cup plant,2022-08-16 13:38:32,2022-08-16 14:00:00,0,24.0,17.0,65.0,0.0,40.0,11.2,1017.0,3.0,1
13,0 days 14:05:02,0 days 14:20:32,930.0,Svastra obliqua (F),Melissodes bimaculatus (F),08-16-2022 i8 Cup plant,2022-08-16 14:05:02,2022-08-16 14:00:00,0,24.0,17.0,65.0,0.0,40.0,11.2,1017.0,3.0,1
14,0 days 12:02:30,0 days 12:17:00,870.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 12:02:30,2022-08-18 12:00:00,1,17.0,17.0,100.0,0.0,299.0,7.2,1017.0,1.0,1
15,0 days 12:17:30,0 days 12:29:00,690.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 12:17:30,2022-08-18 12:00:00,1,17.0,17.0,100.0,0.0,299.0,7.2,1017.0,1.0,1
16,0 days 12:29:30,0 days 12:39:00,570.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 12:29:30,2022-08-18 12:00:00,1,17.0,17.0,100.0,0.0,299.0,7.2,1017.0,1.0,1
17,0 days 12:39:30,0 days 13:24:31,2701.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 12:39:30,2022-08-18 13:00:00,1,21.0,18.0,83.0,0.0,296.0,4.3,1016.0,1.0,1
18,0 days 13:25:01,0 days 13:30:01,300.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 13:25:01,2022-08-18 13:00:00,1,21.0,18.0,83.0,0.0,296.0,4.3,1016.0,1.0,1
19,0 days 13:31:01,0 days 13:55:01,1440.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 13:31:01,2022-08-18 14:00:00,1,23.0,17.0,69.0,0.0,270.0,9.0,1016.0,1.0,1
20,0 days 13:55:31,0 days 14:02:31,420.0,Melissodes denticulatus,Melissodes denticulatus,08-18-2022 i3 Ironweed,2022-08-18 13:55:31,2022-08-18 14:00:00,1,23.0,17.0,69.0,0.0,270.0,9.0,1016.0,1.0,1
